"Sys_PK","Sys_TimeStamp","Sys_GUID","Sys_DTCreated","Sys_User","Sys_LastUser","Sys_Exported","Sys_DTExported","Sys_Info","Codigo","CodigoTel","Nombre","Estado","sys_recver","sys_deleted","sys_lock"
"1","2017-05-13 12:20:45","52D2212D9908464F9DFDC7F8DD360055","2008-01-03 04:46:58",\N,\N,"0","2008-01-03 04:46:58",\N,"CT0001","00","(Desconocido)","1","0",\N,\N
"2","2017-05-13 12:20:45","8BD984AC56DA4C01B67723D7805C9DFD","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0002","449","Aguascalientes","2","0",\N,\N
"3","2017-05-13 12:20:45","076C6B9833364260A00937AE10078023","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0003","495","Jaltiche de Abajo","2","0",\N,\N
"4","2017-05-13 12:20:45","15D35BA17090479B938EFFDF051560E3","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0004","449","Jaltomate","2","0",\N,\N
"5","2017-05-13 12:20:45","A6FEFA20F6AE4EA9A2656D2568482DB9","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0005","449","Jesús María","2","0",\N,\N
"6","2017-05-13 12:20:45","2D83FDFFA1E64C80B52CEEFE002C88A2","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0006","495","La Panadera","2","0",\N,\N
"7","2017-05-13 12:20:45","8476D6073C6240C8009C85C1C44D7700","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0007","458","La Punta","2","0",\N,\N
"8","2017-05-13 12:20:45","4FC2C9FEDB4944F086332DA6A94121E8","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0008","495","Malpaso","2","0",\N,\N
"9","2017-05-13 12:20:45","0E6D8F385C704F6EAA6DD31FA4BFA46B","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0009","465","Pabellón de Arteaga","2","0",\N,\N
"10","2017-05-13 12:20:45","3B05551D6FB74C6C8FF3F688AA542FC3","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0010","465","Pabellón de Hidalgo","2","0",\N,\N
"11","2017-05-13 12:20:46","21F390DF29534D85BC7FA6A9CA78BEC7","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0011","496","Palo Alto","2","0",\N,\N
"12","2017-05-13 12:20:46","A03B359FA250496AADE200C3DA1342EF","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0012","449","Peñuelas (El Cienegal)","2","0",\N,\N
"13","2017-05-13 12:20:46","4B9AA6812487429EB602093E00AD1E6B","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0013","496","Amarillas de Esparza (Amarillas)","2","0",\N,\N
"14","2017-05-13 12:20:46","951B299F6FA84E9286C990F20090E717","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0014","496","Pilotos","2","0",\N,\N
"15","2017-05-13 12:20:46","A252CEC618D043E1AE28903BECB8C660","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0015","465","Rincón de Romos","2","0",\N,\N
"16","2017-05-13 12:20:46","30E4C1D08F79491C95EB1DB6894B1F5C","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0016","465","San Francisco de los Romo","2","0",\N,\N
"17","2017-05-13 12:20:46","0822415F04A64779AD3E186543DC42C1","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0017","449","San Ignacio","2","0",\N,\N
"18","2017-05-13 12:20:46","2CA499513F7A4A36BD43582C63DCBA78","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0018","465","San José de Gracia","2","0",\N,\N
"19","2017-05-13 12:20:46","2AB35A08E9394A318F6200DD19FD2707","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0019","495","San Tadeo","2","0",\N,\N
"20","2017-05-13 12:20:46","C4ECA5CAFAE64E70B7A897877654A5A8","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0020","465","Tepezala","2","0",\N,\N
"21","2017-05-13 12:20:46","B925CA8441AD40B784250938CF72ED00","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0021","449","Valladolid","2","0",\N,\N
"22","2017-05-13 12:20:46","40AC66C91C384F389F92F21EF43E928D","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0022","496","Asientos","2","0",\N,\N
"23","2017-05-13 12:20:46","1B626D684DA24D0BBE7517BADC00EFE2","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0023","495","Calvillo","2","0",\N,\N
"24","2017-05-13 12:20:47","1F79726C0CBE4F35BAD9AAE238EFEFE3","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0024","496","Ciénaga Grande","2","0",\N,\N
"25","2017-05-13 12:20:47","3E1E90689F31468ABCAF22A71DD6F4BD","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0025","458","Cosío","2","0",\N,\N
"26","2017-05-13 12:20:47","20D674B2CEEA482AAC2E059CB253E27E","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0026","465","Emiliano Zapata","2","0",\N,\N
"27","2017-05-13 12:20:47","8A572BA3E1364F86B3BAFF27066B15D8","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0027","449","General Ignacio Zaragoza (Venadero)","2","0",\N,\N
"28","2017-05-13 12:20:47","118D7FFBB62B411B8243AC5FCAB729B9","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0028","449","Gral. J. Ma. Morelos y Pavón (Cañada Honda)","2","0",\N,\N
"29","2017-05-13 12:20:47","166395387DDF474384E685CF6C28D3AA","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0029","646","Santo Tomás","3","0",\N,\N
"30","2017-05-13 12:20:47","8EC3FAD85591400CB4EDD363CEB68724","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0030","665","Tecate","3","0",\N,\N
"31","2017-05-13 12:20:47","D6F4E10ADEFA46799C37DCA778E6FF6B","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0031","664","Tijuana","3","0",\N,\N
"32","2017-05-13 12:20:47","B016CAF859014095B027EA73D56BA980","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0032","646","Uruapan","3","0",\N,\N
"33","2017-05-13 12:20:47","2A8B112D6CF54C6993D2E9895C818E7E","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0033","646","Valle de la Trinidad","3","0",\N,\N
"34","2017-05-13 12:20:47","7341CB3B75CF4949BA12827660968226","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0034","646","Valle de las Palmas","3","0",\N,\N
"35","2017-05-13 12:20:47","1D43E529D5454DCB9954F8D47DFAF100","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0035","616","Venustiano Carranza (Santa María)","3","0",\N,\N
"36","2017-05-13 12:20:47","7B7B0FCC088E4C46A006929D4B98B32D","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"CT0036","658","Vicente Guerrero (Algodones)","3","0",\N,\N
