"Sys_PK","Sys_TimeStamp","Sys_GUID","Sys_DTCreated","Sys_User","Sys_LastUser","Sys_Exported","Sys_DTExported","Sys_Info","Codigo","Nombre","IPais","sys_recver","sys_deleted","sys_lock"
"1","2017-05-13 12:20:43","9CD6285AA254482080F609948CA0473C","2007-10-23 10:31:17",\N,\N,"0","2007-10-23 10:31:17",\N,"000","(Desconocido)","2","0",\N,\N
"2","2017-05-13 12:20:43","44A66C0EC400460C9FCA00C46D2F47F9","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXAgs","Aguascalientes","1","0",\N,\N
"3","2017-05-13 12:20:43","8B0E0FEAE8284BC38552E8C3E8F8B272","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXB.C","Baja California","1","0",\N,\N
"4","2017-05-13 12:20:43","B11451F5F30C42DA8066470054F892A6","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXB.C.S","Baja California del Sur","1","0",\N,\N
"5","2017-05-13 12:20:43","F765F189D39B4AE7B9A197D6F2E2FB91","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXCamp","Campeche","1","0",\N,\N
"6","2017-05-13 12:20:43","079D1E174DFA4F199DA7D6B7A727FC79","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXChih","Chihuahua","1","0",\N,\N
"7","2017-05-13 12:20:43","E3946ADE116D4619A46643FC32C118F3","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXChis","Chiapas","1","0",\N,\N
"8","2017-05-13 12:20:43","2D131E81761B4969B73EC14B44277DD4","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXCoah","Coahuila","1","0",\N,\N
"9","2017-05-13 12:20:43","3EFB05AD389840E0BC4CD26716C28B00","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXCol","Colima","1","0",\N,\N
"10","2017-05-13 12:20:43","13E662CE9B1046819566ADD273BCCEB2","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXD.F","Distrito Federal","1","0",\N,\N
"11","2017-05-13 12:20:43","40820EAAE6A047C29641A74CB71451A7","2008-01-30 12:47:25",\N,\N,"0","2008-01-30 12:47:25",\N,"MXDgo","Durango","1","0",\N,\N
