itemid,description,itemparent
"FX1-00-00-000","Operaciones ERP","FX1-00-00-000"
"FX3-CRM-00-000","Relación con clientes (CRM)","FX1-00-00-000"
"FX3-CRM-10-000","Atención a clientes","FX3-CRM-00-000"
"FX3-CRM-10-100","Tipos de caso","FX3-CRM-10-000"
"FX3-CRM-10-102","Agregar tipos de caso","FX3-CRM-10-100"
"FX3-CRM-10-103","Editar tipos de caso","FX3-CRM-10-100"
"FX3-CRM-10-104","Eliminar tipos de caso","FX3-CRM-10-100"
"FX3-CRM-10-105","Permitir asignar permisos (tipos de caso)","FX3-CRM-10-100"
"FX3-CRM-10-200","Alertas","FX3-CRM-10-000"
"FX3-CRM-10-201","Crear alertas","FX3-CRM-10-200"
"FX3-CRM-10-202","Editar alertas de otros","FX3-CRM-10-200"
"FX3-CRM-10-203","Desactivar alertas de otros","FX3-CRM-10-200"
"FX3-CRM-10-300","Catálogo de prioridades","FX3-CRM-10-000"
"FX3-CRM-10-301","Permitir agregar prioridad","FX3-CRM-10-300"
"FX3-CRM-10-302","Permitir editar prioridad","FX3-CRM-10-300"
"FX3-CRM-10-303","Permitir eliminar prioridad","FX3-CRM-10-300"
"FX3-CRM-20-100","Permitir visualizar estádisticas","FX3-CRM-00-000"
"FX3-CRM-30-100","Permitir acceso administración de casos","FX3-CRM-00-000"
